Qijiaojing,2003,160000,43.75,92.91667,Found
Mount Vernon,1868,159000,36.93333,-87.4,Found
Longchang,1781,158500,29.3,105.3,Found
Kimble County,1918,153800,30.41667,-99.4,Found
Bluff (a),1878,153300,29.87861,-96.87222,Found
Forest City,1890,152000,43.25,-93.66667,Fell
Glasatovo,1918,152000,57.35,37.61667,Fell
Weston,1807,150000,41.266667,-73.266667,Fell
Magura,1840,150000,49.33333,19.48333,Found
McKinney,1870,150000,33.18333,-96.71667,Found
Olivenza,1924,150000,38.71667,-7.06667,Fell
Wiluna,1967,150000,-26.59278,120.32833,Fell
Mbale,1992,150000,1.06667,34.16667,Fell
Tres Castillos,1992,150000,29.47,-105.8,Found
Jalu,2000,150000,27.95833,21.68333,Found
Shirokovsky,2002,150000,58.8,57.95,Found
Montferr̩,1923,149000,43.39056,1.9625,Fell
Orange River (iron),1855,148800,-30,25,Found
Glorieta Mountain,1884,148000,35.6,-105.8,Found
Camp Wood,1960s,148000,29.7725,-99.875,Found
Gilgoin,1889,147000,-30.38333,147.2,Found
Wichita County,1836,145000,34.06667,-98.91667,Found
Molina,1858,144000,38.11667,-1.16667,Fell
Keyes,1939,142000,36.71667,-102.5,Found
El Sampal,1973,142000,-44.53333,-70.36667,Found
Tambo Quemado,1950,141000,-14.66667,-74.5,Found
Selma,1906,140600,32.4,-87,Found
Huizopa,1907,140000,28.9,-108.56667,Found
Ider,1957,140000,34.68333,-85.65,Found
Korra Korrabes,1996,140000,-25.2,18.08333,Found
Brainard,1978,138300,41.15333,-96.955,Found
DRPA78009,1978,138100,-80.06667,156.38333,Found
Cape of Good Hope,1793,136000,-33.5,26,Found
Babb's Mill (Blake's Iron),1876,136000,36.3,-82.88333,Found
Kesen,1850,135000,38.98333,141.61667,Fell
Colomera,1912,134000,37.43333,-3.65,Found
Carnegie,1963,132700,35.16667,-98.64389,Found
Araslanovo,1973,132000,55.14167,48.2,Found
Karavannoe,1960s,132000,57.78117,47.67967,Found
Dong Ujimqin Qi,1995,128800,45.5,119.03333,Fell
Chebankol,1938,127760,53.66667,88,Found
Ozona,1929,127500,30.73333,-101.3,Found
Ensisheim,1492,127000,47.86667,7.35,Fell
Carthage,1840,127000,36.26667,-85.98333,Found
Keqi,1966,127000,42.73333,117.5,Found
Dho 005,2000,125500,18.16667,54.16667,Found
JaH 091,2002,123374,19.69362,56.65432,Found
Bur-Gheluai,1919,120000,5,48,Fell
Santiago Papasquiero,1958,119500,24.5,-106,Found
Duketon,1948,118300,-27.5,122.36667,Found
Bencubbin,1930,118000,-30.75,117.78333,Found
Scurry,1937,118000,32.5,-101,Found
Para de Minas,1934,116300,-19.86667,-44.61667,Found
Cleveland,1860,115000,34.88333,-84.78333,Found
Tafassasset,2000,114000,20.76333,10.44167,Found
Caperr,1869,113900,-45.28333,-70.48333,Found
Buenaventura,1969,113600,29.8,-107.55,Found
Gundaring,1937,112500,-33.3,117.66667,Found
Oakley (iron),1926,111000,42.33333,-113.7,Found
Florey,1978,110800,32.5225,-102.705,Found
Etosha,1970,110700,-18.5,16,Found
LEW 85320,1985,110224,-84.26223,161.41628,Found
Mount Tazerzait,1991,110000,18.7,4.8,Fell
Sulagiri,2008,110000,12.66667,78.03333,Fell
Lenarto,1814,108500,49,21,Found
Elbogen,1400,107000,50.18333,12.73333,Fell
Abee,1952,107000,54.21667,-113,Fell
Tiberrhamine,1967,107000,28.11667,0.53333,Found
Faith,1952,105000,45.33333,-102.08333,Found
